category,sub_category,job_title,province,job_company,job_industry,job_finance,job_scale,job_welfare,job_experience,job_education,job_skills,salary_lower,salary_high,city,district,street
后端开发,Python,python中级工程师,广东,老码网络,互联网,天使轮,20-99人,"五险一金,零食下午茶,节日福利,带薪年假,年终奖,全勤奖",1,本科,"Python,C++,PHP,Django,Flask,其他,MySQL,,,,",7,12,广州,白云区,永泰
后端开发,Python,Python开发工程师,重庆,视服数科,互联网,天使轮,20-99人,"年终奖,定期体检,全勤奖,股票期权,五险一金,带薪年假",1,本科,"数据库开发,Python,C++,Java,Go,分布式技术,,",8,12,重庆,渝北区,回兴
后端开发,Python,数据采集实习生,陕西,中软安全,计算机软件,未融资,20-99人,"五险一金,团建聚餐,带薪年假,零食下午茶",0,6个月,"提供实习证明,爬虫经验,提供转正机会,Docker,MySQL,,,",90,100元/天,西安,雁塔区,高新路
后端开发,C#,软件工程师,上海,企荫信息,计算机软件,未融资,0-20人,"五险一金,定期体检,年终奖",2,学历不限,全栈,10,12,上海,嘉定区,马陆
后端开发,C#,ventuz c#开发工程师,北京,千娱数字,社交网络与媒体,0-20人,无,"员工旅游,补充医疗保险,年终奖,五险一金,股票期权,全勤奖,定期体检,带薪年假",2,本科,"高级软件工程师,中级软件工程师,后端开发,Windows",10,15,北京,昌平区,霍营
后端开发,C#,软件工程师,广东,爱吉尔机器人,通用设备,未融资,20-99人,"零食下午茶,五险一金,节日福利",1,大专,"C#,Agv",8,13,东莞,大朗镇,松山湖
后端开发,C#,C#开发工程师,陕西,西安卡奔软件,计算机软件,不需要融资,0-20人,"员工旅游,带薪年假,年终奖",1,本科,"C#,C++,C#开发经验",11,20,西安,雁塔区,枫林绿洲
后端开发,C#,上位机软件工程师,湖北,湖北达峰智控,机械设备/机电/重工,100-499人,无,"交通补助,员工旅游,餐补,通讯补贴,有无线网,节日福利,定期体检,生日福利,团建聚餐,宿舍有空调,年终奖,五险一金,工龄奖",2,本科,"C#,上位机",8,12,十堰,茅箭区,五一
后端开发,C#,高级软件工程师,安徽,中国科学技术大学...,半导体/芯片,未融资,500-999人,"法定节假日三薪,绩效奖金,带薪年假,有无线网,餐补,定期体检,五险一金",2,硕士,"C++,C#,系统架构设计经验,中大型项目开发经验,qt",20,40,合肥,蜀山区,高新区
后端开发,C#,C#初级开发,湖北,德邻软件,计算机软件,不需要融资,20-99人,"通讯补贴,餐补,定期体检,带薪年假,五险一金,年终奖",0,学历不限,"C#,SQL,C++,MySQL,Oracle,Visual Studio,",3,4,武汉,洪山区,珞南
后端开发,C#,wpf开发工程师,广东,博英医疗,医疗器械,未融资,100-499人,"餐补,员工旅游,带薪年假,五险一金,年终奖,定期体检,意外险,节日福利",2,本科,"C#开发经验,WPF,winform,桌面应用开发",18,30,深圳,福田区,车公庙
后端开发,C#,软件开发实习生,浙江,云摇,计算机软件,未融资,0-20人,"夜班补助,加班补助,五险一金,年终奖,带薪年假,餐补",0,1个月,C#,100,150元/天,杭州,余杭区,仓前
后端开发,C#,C#软件工程师,河北,唐山百川智能机器,专用设备,500-999人,无,"加班补助,五险一金,年终奖,节日福利,餐补,员工旅游,带薪年假,包吃",1,本科,C#,6,11,唐山,路北区,火炬路
后端开发,C#,软件开发工程师,广东,兴森科技,电子/硬件开发,已上市,1000-9999人,"专业培训,股票期权,员工旅游,带薪年假,节日福利,定期体检,餐补,五险一金,免费班车,加班补助,年终奖",2,本科,"C#,MySQL,SQL Server,C#开发经验,计算机相关专业",12,20,广州,黄埔区,万达广场
后端开发,C#,C#程序设计,陕西,艾蒙希科技,机械设备/机电/重工,不需要融资,20-99人,"加班补助,五险一金,定期体检,补充医疗保险",1,本科,"C#,C++,C#开发经验,算法基础,.NET,Windows,,,",10,15,西安,雁塔区,电子城
后端开发,C#,上位机软件开发工程师,浙江,威衡科技,智能硬件,未融资,20-99人,"带薪年假,节日福利,补充医疗保险,全勤奖,零食下午茶",1,本科,"C#,C++",8,13,杭州,余杭区,仁和
后端开发,C#,C#,陕西,星联云科,互联网,不需要融资,20-99人,"员工旅游,五险一金,节假日加班费,年终奖,节日福利,加班补助",2,本科,"C#,SQL,.NET,后端开发,Socket技术,MySQL,,",7,12,西安,雁塔区,紫薇田园都市
后端开发,C#,C#软件工程师,江苏,凌鸟智能,智能硬件,天使轮,20-99人,"带薪年假,五险一金,员工旅游,年终奖,节日福利,餐补,股票期权,零食下午茶",1,本科,"C#,计算机相关专业,C#开发经验",9,14,苏州,苏州工业园区,跨塘
后端开发,C#,C#,浙江,浙江甜橙,医疗健康,0-20人,无,"餐补,股票期权,加班补助,五险一金,团建聚餐,定期体检,绩效奖金,年终奖,带薪年假,底薪加提成",1,本科,"C#,ASP.NET,Oracle,服务器端开发,架构师,.NET,,,,,",10,15,金华,婺城区,骆家塘
后端开发,C#,NETCORE全栈开发工程师,广东,智管,计算机软件,未融资,0-20人,"员工旅游,五险一金,带薪年假",2,大专,"C++,net.core,net core,JQuery,React,MES,WMS,",10,15,广州,番禺区,华南
后端开发,.NET,高级开发工程师,上海,上海沙鲁,计算机软件,不需要融资,20-99人,"五险一金,年终奖,带薪年假,节日福利,定期体检,员工旅游",2,本科,".NET,C#,CSS,计算机软件,办公协同",12,18,上海,松江区,九亭
后端开发,.NET,开发工程师（长沙）,湖南,一采通,计算机软件,不需要融资,20-99人,"绩效奖金,五险一金,通讯补贴,交通补助,带薪年假",3,大专,".NET,C#,JavaScript/TypeScript",11,16,长沙,芙蓉区,马王堆
后端开发,Node.js,node.js后端开发工程师,陕西,中大设计,建筑设计,未融资,100-499人,"五险一金,加班补助,年终奖,员工旅游,节日福利",2,大专,Node.js,10,15,西安,雁塔区,紫薇田园都市
后端开发,Node.js,Node后端开发（兼职）,北京,南京白利度科技,互联网,B轮,500-999人,"年终奖,带薪年假,零食下午茶,股票期权,节日福利,五险一金",2,本科,"后端,Node.js,JavaScript/TypeScript",30,35,北京,朝阳区,798
后端开发,Node.js,node.js后端开发工程师,四川,神游网络,游戏,不需要融资,0-20人,"员工旅游,带薪年假,年终奖,股票期权,加班补助,五险一金,包吃",2,本科,"后端,Node.js,MySQL/Redis/MongoDB,服务端开发经验,,",11,18,成都,武侯区,大源
后端开发,Node.js,Node.js后台开发工程师,广东,智趣中游,游戏,不需要融资,20-99人,"员工旅游,定期体检,全勤奖,带薪年假,节日福利,零食下午茶,年终奖,五险一金",1,本科,"SQL,算法基础,Node.js,服务器,JavaScript,Mysql,",15,25,深圳,南山区,科技园
后端开发,Node.js,后台软件工程师,北京,银河威尔科技,其他行业,A轮,20-99人,五险一金,1,本科,"C#,Node.js,后端开发,音视频开发",12,20,北京,东城区,建国门内
后端开发,Node.js,后端工程师,浙江,心念绘见,互联网,天使轮,0-20人,"补充医疗保险,五险一金",2,本科,"后端,Node.js,Node.js开发经验",9,14,杭州,西湖区,西溪
后端开发,Node.js,nodejs后端开发工程师（插件式开发经验）,广东,深圳市德诺信科技...,互联网,未融资,20-99人,"五险一金,年终奖,零食下午茶,生日福利,节日福利,员工旅游,带薪年假,加班补助,团建聚餐,定期体检",2,大专,"JavaScript/TypeScript,Node.js开发经验,Node.js,",11,15,深圳,福田区,车公庙
后端开发,Node.js,nodejs后端开发,广东,腾创医,计算机软件,0-20人,无,"零食下午茶,五险一金,节日福利",1,大专,"Express/Koa,Node.js,MySQL/Redis/MongoDB,Nest.js,",10,15,珠海,香洲区,夏湾
后端开发,Node.js,后端开发,江苏,WINDIOT,互联网,未融资,0-20人,五险一金,1,大专,"JavaScript,HTML,SQL,后端开发,全栈开发",6,10,无锡,新吴区,新安
后端开发,Node.js,华为云开发工程师,陕西,华为,计算机软件,不需要融资,10000人以上,"保底工资,夜班补助,交通补助,节假日加班费,股票期权,免费班车,定期体检,五险一金,生日福利,绩效奖金,员工旅游,年终奖,餐补,零食下午茶,意外险,带薪年假,加班补助,节日福利,法定节假日三薪,补充医疗保险",1,本科,"Java,Python,JavaScript,Shell,微服务架构,容器技术",15,30,西安,雁塔区,高新软件园
后端开发,Node.js,软件开发工程师,北京,奥格特,石油/石化,未融资,20-99人,"带薪年假,五险一金",0,本科,"JavaScript,服务器配置,网络编程,架构师,WEB开发,",10,11,北京,昌平区,城南
后端开发,Node.js,【UserGrowth】研发工程师,北京,字节跳动,互联网,D轮及以上,10000人以上,"免费健身设施,弹性工作制,节日福利,定期体检,零食下午茶,年终奖,餐补,团建聚餐,节日礼品,餐饮及下午茶,法定节假日三薪,夜班补助,五险一金,住房补贴,补充医疗保险,加班补助,带薪年假,家庭关爱假,年度体检,就近租房补贴",0,本科,"JavaScript/TypeScript,全栈开发,Node.js开发经验,前端,,,,",25,50,北京,海淀区,双榆树
后端开发,Node.js,nodejs 游戏后端,北京,甲贝网络,游戏,B轮,0-20人,"补充医疗保险,带薪年假,五险一金,节日福利,年终奖",3,本科,"服务器端开发,JavaScript,网络协议,Socket技术,游戏,",18,25,北京,昌平区,沙河
后端开发,Node.js,高级后端工程师,广东,xmind,互联网,不需要融资,20-99人,"年终奖,五险一金,员工旅游,节日福利,餐补,带薪年假,定期体检",2,本科,"后端,全栈,Node.js,JavaScript/TypeScript,,,,",18,35,深圳,南山区,科技园
后端开发,Node.js,后端开发实习生,四川,成都市奇点软件,计算机软件,未融资,0-20人,"交通补助,餐补",0,6个月,"后端,Express/Koa,MySQL/Redis/MongoDB,,,",150,300元/天,成都,锦江区,天府广场
后端开发,Node.js,服务端开发工程师,北京,北京自在科技,智能硬件,B轮,20-99人,"五险一金,年终奖,带薪年假,员工旅游",2,本科,"后端,全栈,前端,Node.js,Java,MySQL/Redis/MongoDB,,,",13,25,北京,东城区,王府井
后端开发,Node.js,高级软件工程师(食药行业MES),陕西,和利时卡优倍,计算机软件,500-999人,无,"定期体检,免费班车,餐补,绩效奖金,五险一金,补充医疗保险,通讯补贴,底薪加提成,带薪年假,年终奖,交通补助",3,本科,"Node.js,JavaScript/TypeScript,Java,Node.js开发经验,,",12,18,西安,雁塔区,电子城
